feedback_id,feedback_text,rating,metro_line,station,feedback_date,journey_type,issue_category,subtopic,sentiment,sentiment_score,urgency,passenger_type,resolution_status,language,data_source
MPF00001,"Overall, The ticket machine was not working and caused a queue.",1,Line 1,Andheri,2026-01-24,Tourism,Ticketing,ticket_machine,Negative,-0.54,High,Student,Not Required,English,Synthetic Survey
MPF00002,"Overall, The coach condition was good and everything looked maintained.",5,Line 2A,Goregaon West,2026-04-19,Shopping,Maintenance,equipment,Positive,0.72,Low,General,Not Required,English,Synthetic Complaint
MPF00003,Security staff guided me properly when I asked for help.,4,Line 7,Dindoshi,2026-05-18,College,Staff Behaviour,staff_politeness,Positive,0.59,Low,General,Resolved,English,Synthetic Review
MPF00004,"In my experience, The interchange process was smooth and well signposted.",5,Line 3,Aarey JVLR,2026-08-07,Other,Connectivity,interchange,Positive,0.78,Low,Student,Not Required,English,Synthetic Survey
MPF00005,"During my trip, There should be more working ticket counters during rush hours.",2,Line 1,Azad Nagar,2026-06-12,Work,Ticketing,ticket_machine,Negative,-0.73,High,Senior citizen,Not Required,English,Synthetic Complaint
MPF00006,"During my trip, Crowding near the doors made boarding difficult.",3,Line 6,Jogeshwari,2026-04-13,College,Crowding,door_area_crowding,Neutral,-0.06,Medium,Student,Not Required,English,Synthetic Review
MPF00007,"Today, The station infrastructure appeared well maintained.",4,Line 1,DN Nagar,2026-05-24,Other,Maintenance,signage_and_fixtures,Positive,0.9,Low,Tourist,Not Required,English,Synthetic Complaint
MPF00008,"Overall, Please review the fare for frequent daily commuters.",3,Line 7,Mogharpada,2026-02-10,Daily commute,Fare,frequent_commuter_cost,Neutral,0.0,Medium,Student,Open,Hinglish,Synthetic Complaint
MPF00009,"In my experience, Please improve cleanliness in the washroom area.",2,Line 3,BKC,2026-08-15,Tourism,Cleanliness,washroom_cleanliness,Negative,-0.63,High,Student,Not Required,English,Synthetic Complaint
MPF00010,"Overall, Seats and windows were clean during my journey.",5,Line 7,Goregaon East,2026-08-11,Other,Cleanliness,washroom_cleanliness,Positive,0.55,Low,Senior citizen,Resolved,Hinglish,Synthetic Survey
