feedback_id,feedback_text,rating,metro_line,station,feedback_date,journey_type,issue_category,subtopic,sentiment,sentiment_score,urgency,passenger_type,resolution_status,language,data_source,processed_text
MPF00001,"Overall, The ticket machine was not working and caused a queue.",1,Line 1,Andheri,2026-01-24,Tourism,Ticketing,ticket_machine,Negative,-0.54,High,Student,Not Required,English,Synthetic Survey,overall ticket machine working caused queue
MPF00002,"Overall, The coach condition was good and everything looked maintained.",5,Line 2A,Goregaon West,2026-04-19,Shopping,Maintenance,equipment,Positive,0.72,Low,General,Not Required,English,Synthetic Complaint,overall coach condition good everything looked maintained
MPF00003,Security staff guided me properly when I asked for help.,4,Line 7,Dindoshi,2026-05-18,College,Staff Behaviour,staff_politeness,Positive,0.59,Low,General,Resolved,English,Synthetic Review,security staff guided properly asked help
MPF00004,"In my experience, The interchange process was smooth and well signposted.",5,Line 3,Aarey JVLR,2026-08-07,Other,Connectivity,interchange,Positive,0.78,Low,Student,Not Required,English,Synthetic Survey,experience interchange process smooth well signposted
MPF00005,"During my trip, There should be more working ticket counters during rush hours.",2,Line 1,Azad Nagar,2026-06-12,Work,Ticketing,ticket_machine,Negative,-0.73,High,Senior citizen,Not Required,English,Synthetic Complaint,trip working ticket counter rush hour
MPF00006,"During my trip, Crowding near the doors made boarding difficult.",3,Line 6,Jogeshwari,2026-04-13,College,Crowding,door_area_crowding,Neutral,-0.06,Medium,Student,Not Required,English,Synthetic Review,trip crowding near door made boarding difficult
MPF00007,"Today, The station infrastructure appeared well maintained.",4,Line 1,DN Nagar,2026-05-24,Other,Maintenance,signage_and_fixtures,Positive,0.9,Low,Tourist,Not Required,English,Synthetic Complaint,today station infrastructure appeared well maintained
MPF00008,"Overall, Please review the fare for frequent daily commuters.",3,Line 7,Mogharpada,2026-02-10,Daily commute,Fare,frequent_commuter_cost,Neutral,0.0,Medium,Student,Open,Hinglish,Synthetic Complaint,overall please review fare frequent daily commuter
MPF00009,"In my experience, Please improve cleanliness in the washroom area.",2,Line 3,BKC,2026-08-15,Tourism,Cleanliness,washroom_cleanliness,Negative,-0.63,High,Student,Not Required,English,Synthetic Complaint,experience please improve cleanliness washroom area
MPF00010,"Overall, Seats and windows were clean during my journey.",5,Line 7,Goregaon East,2026-08-11,Other,Cleanliness,washroom_cleanliness,Positive,0.55,Low,Senior citizen,Resolved,Hinglish,Synthetic Survey,overall seat window clean journey
MPF00011,"During my trip, The escalator was not working and needs maintenance.",2,Line 7,Mogharpada,2026-01-29,Tourism,Maintenance,equipment,Negative,-0.63,High,Student,Resolved,English,Synthetic Survey,trip escalator working need maintenance
MPF00012,Train service was running late today. Please improve punctuality.,1,Line 7,Dindoshi,2026-08-31,Daily commute,Delay,missed_connection,Negative,-0.51,High,General,Resolved,English,Synthetic Review,train service running late today please improve punctuality
MPF00013,"In my experience, Better last-mile connectivity would help passengers.",3,Line 2A,Kandarpada,2026-03-05,Shopping,Connectivity,interchange,Neutral,0.04,Medium,Senior citizen,Resolved,English,Synthetic Survey,experience better lastmile connectivity would help passenger
MPF00014,"Overall, Train service was running late today. Please improve punctuality.",1,Line 1,Versova,2026-05-12,Other,Delay,late_train,Negative,-0.91,High,Student,In Review,English,Synthetic Survey,overall train service running late today please improve punctuality
MPF00015,"In my experience, The staff member at the counter was rude and unhelpful.",2,Line 7,Jogeshwari East,2026-04-21,Shopping,Staff Behaviour,staff_helpfulness,Negative,-0.67,High,Tourist,Not Required,English,Synthetic Complaint,experience staff member counter rude unhelpful
MPF00016,The station has clean lifts and working escalators.,4,Line 3,Marol Naka,2026-02-05,College,Facilities,escalator,Positive,0.71,Low,Student,Resolved,English,Synthetic Review,station clean lift working escalator
MPF00017,"Today, The lift was out of service and caused inconvenience.",3,Line 2A,Kandarpada,2026-02-12,Other,Facilities,escalator,Neutral,-0.08,Medium,General,Not Required,Hinglish,Synthetic Survey,today lift service caused inconvenience
MPF00018,"Overall, Please train staff to respond more politely to passengers.",2,Line 3,Marol Naka,2026-04-19,Shopping,Staff Behaviour,security_assistance,Negative,-0.95,High,Senior citizen,Resolved,Hinglish,Synthetic Review,overall please train staff respond politely passenger
MPF00019,"Overall, Too many passengers were packed into the train today.",1,Line 6,Vikhroli,2026-05-30,Tourism,Crowding,door_area_crowding,Negative,-0.6,High,Student,Not Required,English,Synthetic Survey,overall many passenger packed train today
MPF00020,The coach was extremely crowded during peak hours.,2,Line 6,Kanjurmarg,2026-06-02,Daily commute,Crowding,peak_hour_crowding,Negative,-0.91,High,Working professional,Open,English,Synthetic Complaint,coach extremely crowded peak hour
MPF00021,"Overall, Good value for money compared with other transport options.",5,Line 6,Swami Samarth Nagar,2026-08-26,Shopping,Fare,fare_value,Positive,0.65,Low,Working professional,Not Required,English,Synthetic Review,overall good value money compared transport option
MPF00022,"In my experience, The coach condition was good and everything looked maintained.",5,Line 1,Azad Nagar,2026-02-10,Work,Maintenance,equipment,Positive,0.75,Low,Senior citizen,Not Required,Hinglish,Synthetic Review,experience coach condition good everything looked maintained
